Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BEBE,"bebe stores, inc.",3.58,$285.01M,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/bebe
BBBY,Bed Bath & Beyond Inc.,74.77,$13.88B,1992,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/bbby
BELFA,Bel Fuse Inc.,20.7,$245.91M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/belfa
BELFB,Bel Fuse Inc.,23.52,$279.41M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/belfb
BLCM,"Bellicum Pharmaceuticals, Inc.",24.71,$638.74M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blcm
BNCL,"Beneficial Bancorp, Inc.",10.79,$810.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl
BNFT,"Benefitfocus, Inc.",24.19,$618.19M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
BGMD,"BG Medicine, Inc.",1.06,$36.48M,2011,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/bgmd
BGCP,"BGC Partners, Inc.",7.83,$1.72B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp
BGFV,Big 5 Sporting Goods Corporation,11.91,$264.09M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/bgfv
BIND,"BIND Therapeutics, Inc.",6.79,$112.36M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bind
ORPN,Bio Blast Pharma Ltd.,8.15,$115.98M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/orpn
BASI,"Bioanalytical Systems, Inc.",2.113,$17.06M,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/basi
BIOC,"Biocept, Inc.",2.11,$9.39M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/bioc
BCRX,"BioCryst Pharmaceuticals, Inc.",10.18,$731.57M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx
BIOD,Biodel Inc.,1.51,$36.33M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/biod
BDSI,"BioDelivery Sciences International, Inc.",13.1,$671.85M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bdsi
BIIB,Biogen Idec Inc.,389.16,$91.9B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
BIOL,"Biolase, Inc.",2.5599,$148.77M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/biol
BLFS,"BioLife Solutions, Inc.",1.77,$21.39M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/blfs
BLRX,BioLineRx Ltd.,1.8,$61.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blrx
BMRN,BioMarin Pharmaceutical Inc.,97.16,$14.33B,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
BPTH,"Bio-Path Holdings, Inc.",2.26,$201.68M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/bpth
BRLI,"Bio-Reference Laboratories, Inc.",33.53,$930.45M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/brli
BIOS,"BioScrip, Inc.",5.75,$394.66M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bios
BBC,BioShares Biotechnology Clinical Trials Fund,28.79,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bbc
BBP,BioShares Biotechnology Products Fund,28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bbp
BSTC,BioSpecifics Technologies Corp,39.34,$255.74M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bstc
BSPM,"Biostar Pharmaceuticals, Inc.",0.968,$14.98M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bspm
BOTA,"Biota Pharmaceuticals, Inc.",2.4,$84.24M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bota
TECH,Bio-Techne Corp,93.02,$3.45B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/tech
BEAT,"BioTelemetry, Inc.",9.88,$263.63M,2008,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/beat
BDMS,"Birner Dental Management Services, Inc.",13.686,$25.46M,1998,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bdms
BJRI,"BJ&#39;s Restaurants, Inc.",44.29,$1.16B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bjri
BBOX,Black Box Corporation,21.01,$324.64M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bbox
BDE,"Black Diamond, Inc.",6.36,$207.9M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/bde
BLKB,"Blackbaud, Inc.",43.71,$2.02B,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BBRY,BlackBerry Limited,10.15,$5.37B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bbry
HAWK,"Blackhawk Network Holdings, Inc.",33.36,$1.77B,2013,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawk
HAWKB,"Blackhawk Network Holdings, Inc.",33.11,$1.75B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawkb
BKCC,BlackRock Kelso Capital Corporation,8.02,$597.87M,2007,n/a,n/a,http://www.nasdaq.com/symbol/bkcc
ADRA,BLDRS Asia 50 ADR Index Fund,28.45,$25.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,22.36,$51.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,35.22,$183.14M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRU,BLDRS Europe 100 ADR Index Fund,22.22,$16.67M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
BLMN,"Bloomin&#39; Brands, Inc.",24.715,$3.11B,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/blmn
BCOR,"Blucora, Inc.",13.52,$554.36M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
BBLU,"Blue Earth, Inc.",1.25,$116.62M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bblu
BHBK,"Blue Hills Bancorp, Inc.",13.29,$378.32M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/bhbk
NILE,"Blue Nile, Inc.",31.08,$368.16M,2004,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/nile
BLUE,"bluebird bio, Inc.",92.91,$2.68B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
BKEP,"Blueknight Energy Partners L.P., L.L.C.",7.27,$238.21M,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",8.9712,$270.56M,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkepp
BNCN,BNC Bancorp,15.98,$471.35M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bncn
BOBE,"Bob Evans Farms, Inc.",56.37,$1.33B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bobe
BOFI,"BofI Holding, Inc.",84.36,$1.27B,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi
WIFI,"Boingo Wireless, Inc.",8.45,$304.93M,2011,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wifi
BOKF,BOK Financial Corporation,54.11,$3.75B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
BONA,Bona Film Group Limited,6.43,$391.43M,2010,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/bona
